age,gender,country,salary,balance,account_type,num_products,has_cr_card,is_active_member,tenure_years,estimated_salary,churn,membership_duration_years
32.0,Male,France,28487.85,24110.84,Savings,1,0,0,1,80377.68,1,9.490410958904109
71.0,Male,India,70438.11,68115.76,Checking,4,0,1,10,96931.59,0,1.7753424657534247
25.0,Male,India,74045.42,39267.3,Checking,4,0,1,7,12145.54,0,2.5178082191780824
32.0,Other,India,88651.25,86328.77,Business,4,0,1,10,111888.59,0,1.7753424657534247
32.0,Female,USA,77695.8,8631.8,Checking,2,1,0,4,3055.15,0,8.468493150684932
67.0,Female,India,65112.12,28982.34,Checking,4,1,1,2,59033.4,0,4.8054794520547945
56.0,Female,UK,52059.76,28913.51,Savings,3,0,1,0,34052.22,0,6.536986301369863
39.0,Other,USA,51781.45,19462.86,Savings,1,1,1,7,44094.81,1,2.1205479452054794
35.0,Female,USA,51992.97,27975.15,Business,3,1,0,8,18915.92,0,5.821917808219178
33.0,Male,France,27553.02,25400.63,Business,4,0,1,6,89645.16,1,1.2356164383561643
19.0,Male,Germany,103585.75,15425.91,Savings,2,0,0,7,89597.51,0,8.238356164383562
53.0,Male,Germany,84966.88,70892.68,Business,1,1,1,4,76715.1,0,4.342465753424658
37.0,Female,Cambodia,66362.51,33331.21,Business,1,1,1,4,116923.05,0,2.095890410958904
33.0,Male,France,80373.43,53539.49,Checking,2,0,1,10,32409.91,0,3.9424657534246577
20.0,Male,Germany,78826.32,54804.71,Business,2,1,0,0,59197.59,0,6.454794520547945
73.0,Female,India,35175.56,63562.23,Business,4,1,0,7,97883.36,1,3.336986301369863
72.0,Female,India,91743.65,60327.55,Checking,2,1,1,0,68302.65,0,3.5342465753424657
19.0,Male,Germany,43052.63,33519.41,Business,4,0,1,3,53321.64,0,4.361643835616438
52.0,Male,Germany,21657.48,75713.73,Savings,4,0,1,8,53744.49,1,9.347945205479451
43.0,Male,UK,30948.94,45496.7,Business,1,0,0,1,75305.52,0,4.416438356164384
74.0,Male,USA,57591.44,11944.29,Savings,1,1,1,8,54052.62,0,2.271232876712329
22.0,Female,USA,29506.2,60157.03,Checking,1,0,1,5,10456.58,0,2.852054794520548
19.0,Male,UK,55699.87,58185.16,Business,4,1,0,3,44989.33,0,1.9397260273972603
68.0,Male,USA,43632.13,9164.78,Savings,4,1,1,3,119746.23,0,6.273972602739726
73.0,Female,Germany,59980.02,49897.96,Checking,4,0,0,0,47678.47,0,4.147945205479452
51.0,Female,Germany,59100.5,44577.29,Savings,2,1,0,7,75970.34,0,1.7808219178082192
51.0,Female,France,75062.89,15523.9,Business,2,0,1,7,47670.25,0,5.958904109589041
73.0,Male,USA,67033.46,48309.85,Checking,3,0,1,7,34687.21,0,7.884931506849315
72.0,Female,France,38693.68,30385.06,Business,4,0,0,4,13488.78,0,9.915068493150685
37.0,Female,Cambodia,59856.2,25795.16,Savings,3,1,1,7,71328.19,0,3.835616438356164
67.0,Male,USA,57953.61,48216.21,Checking,1,1,1,7,43127.36,0,1.3726027397260274
42.0,Male,France,68889.49,16786.02,Checking,1,1,1,3,40199.25,0,4.652054794520548
37.0,Male,UK,64615.68,39036.69,Savings,4,0,0,3,58292.98,0,5.6657534246575345
42.0,Male,France,90972.03,58973.15,Savings,1,1,1,0,57978.15,0,1.5890410958904109
31.0,Male,UK,44312.41,24493.55,Checking,4,0,1,2,95342.38,0,2.8493150684931505
64.0,Female,UK,83243.15,3265.31,Savings,2,0,0,10,28563.78,0,6.9150684931506845
61.0,Female,Germany,68274.6,20855.2,Checking,4,0,1,3,91292.25,0,5.898630136986301
60.0,Female,USA,82103.69,51327.84,Savings,1,1,1,6,17310.69,0,8.084931506849315
60.0,Female,UK,57000.79,20184.21,Checking,3,1,1,5,19787.5,0,3.2986301369863016
56.0,Male,USA,27282.53,56654.42,Business,1,0,1,6,104934.93,0,2.4
29.0,Female,India,116097.79,20141.63,Savings,2,1,1,9,52142.99,0,5.682191780821918
65.0,Female,France,44933.9,23853.0,Checking,2,0,1,0,84264.93,1,9.567123287671233
19.0,Male,Germany,77924.72,53891.65,Business,4,1,1,3,84851.0,0,4.580821917808219
71.0,Male,Germany,36371.23,3327.71,Checking,4,1,0,5,129859.52,0,7.282191780821917
33.0,Male,Cambodia,50189.91,40599.65,Business,4,1,0,6,56705.98,0,3.66027397260274
47.0,Male,India,56417.01,15171.66,Checking,2,1,1,5,60281.88,0,8.761643835616438
64.0,Male,Germany,50914.67,42121.24,Savings,4,0,0,10,53944.29,0,6.515068493150685
60.0,Male,India,99742.24,31401.65,Savings,2,0,1,10,56233.44,0,7.2246575342465755
55.0,Other,Cambodia,57213.39,12375.87,Savings,2,1,1,6,83503.16,1,3.589041095890411
62.0,Male,Germany,37514.34,33521.27,Business,1,0,0,9,78482.85,0,2.4273972602739726
68.0,Male,UK,84423.82,14154.79,Business,1,0,1,10,60868.24,0,9.084931506849315
59.0,Female,Cambodia,41936.56,22190.01,Business,1,1,1,0,90236.62,0,7.602739726027397
68.0,Male,France,37384.33,28758.5,Savings,3,1,1,0,83780.49,0,7.841095890410959
54.0,Male,Cambodia,60994.51,31861.35,Checking,2,1,1,6,92907.98,0,7.917808219178082
74.0,Male,France,59274.77,15747.32,Savings,3,1,1,8,74367.35,0,3.884931506849315
70.0,Male,Cambodia,63750.45,44598.1,Checking,2,0,1,5,49120.58,0,8.96986301369863
56.0,Female,Germany,80445.04,46203.22,Checking,4,1,0,6,50376.93,0,8.66027397260274
28.0,Male,USA,77577.36,10391.31,Savings,2,1,1,7,86549.77,0,1.4821917808219178
31.0,Female,Cambodia,34014.82,57714.59,Savings,2,0,1,9,73007.71,0,6.7753424657534245
40.0,Male,Cambodia,43133.67,65417.19,Savings,2,0,0,10,59220.08,0,4.358904109589041
70.0,Female,India,83109.32,47533.51,Business,1,1,1,2,124956.57,0,9.832876712328767
33.0,Male,Cambodia,40429.24,36547.49,Business,3,0,1,4,45518.71,0,2.9726027397260273
67.0,Male,Germany,72297.43,75233.91,Savings,4,1,1,3,66376.01,0,6.263013698630137
38.0,Female,Cambodia,80987.06,45781.1,Savings,3,1,1,1,74795.54,1,6.852054794520548
72.0,Female,UK,18960.49,38944.47,Business,4,0,0,3,35301.47,0,4.454794520547945
72.0,Male,USA,49841.53,68997.96,Checking,1,0,0,9,100158.14,0,2.6246575342465754
21.0,Female,USA,80375.85,67053.37,Savings,4,0,1,7,118490.41,0,5.912328767123288
50.0,Female,UK,56325.65,6216.51,Savings,4,0,0,10,55051.44,0,1.4219178082191781
71.0,Male,France,49895.62,24916.59,Savings,4,1,1,4,102765.44,0,6.824657534246575
64.0,Other,Germany,80777.87,46713.33,Savings,4,1,1,4,73532.55,0,5.838356164383562
22.0,Male,India,104178.27,53157.26,Savings,1,1,0,5,69577.88,0,5.3561643835616435
53.0,Female,Germany,15394.58,26908.57,Business,4,1,0,5,23474.54,0,8.863013698630137
62.0,Male,UK,48640.51,23660.6,Checking,4,1,0,8,90141.11,0,8.972602739726028
35.0,Male,USA,51636.76,-11657.99,Business,1,0,1,4,35198.45,0,5.087671232876712
61.0,Female,USA,52780.89,-423.21,Savings,4,0,1,10,98097.02,0,3.767123287671233
48.0,Male,USA,46637.37,12478.39,Business,4,1,1,2,91316.81,0,1.610958904109589
72.0,Female,Germany,41859.73,23168.9,Savings,2,0,1,4,75984.05,0,4.287671232876712
47.0,Male,Cambodia,54492.19,34856.33,Savings,3,0,1,8,85366.25,0,1.5178082191780822
38.0,Male,France,45253.84,24648.2,Savings,2,1,1,7,18943.99,0,4.03013698630137
64.0,Female,Germany,77048.19,34052.54,Savings,3,1,1,7,34969.69,0,9.46027397260274
47.0,Female,USA,60765.36,25072.32,Checking,3,1,1,2,37856.99,0,4.904109589041096
72.0,Male,USA,54470.93,34906.19,Savings,1,1,1,3,47417.41,0,7.873972602739726
58.0,Male,Germany,58197.03,53613.39,Savings,3,0,1,1,102915.56,0,1.8520547945205479
21.0,Male,Cambodia,87854.03,34700.54,Business,1,1,0,7,1594.41,0,1.5041095890410958
22.0,Female,Cambodia,47914.84,45817.02,Checking,4,0,0,1,47648.63,0,1.463013698630137
58.0,Male,UK,28165.21,49287.26,Checking,2,0,0,6,11365.43,0,8.632876712328768
27.0,Female,USA,54174.47,-817.01,Checking,1,1,1,5,95427.37,0,5.210958904109589
44.0,Male,USA,72037.58,40053.91,Savings,4,1,0,0,84488.14,0,7.8054794520547945
33.0,Male,France,81995.19,21518.08,Business,3,0,1,3,54151.77,0,4.1287671232876715
47.0,Male,Cambodia,101215.96,52248.19,Savings,2,0,1,3,69209.49,0,2.526027397260274
53.0,Female,France,37926.3,29849.18,Checking,2,1,1,7,49626.96,0,2.410958904109589
38.0,Female,USA,54919.35,38278.57,Savings,1,1,0,9,44075.07,1,5.706849315068493
62.0,Female,Cambodia,5908.49,48357.25,Business,1,0,1,8,31598.21,1,7.3780821917808215
70.0,Male,USA,52211.49,18742.21,Savings,1,0,1,2,3920.12,0,2.7205479452054795
57.0,Female,France,44872.33,35184.55,Checking,4,0,1,8,62036.84,0,5.93972602739726
62.0,Male,France,2174.37,4049.84,Checking,1,0,1,3,117448.49,1,2.638356164383562
32.0,Male,USA,112688.39,55886.34,Checking,3,1,1,1,62756.59,0,7.191780821917808
37.0,Female,USA,7319.75,36998.84,Business,1,1,1,10,84999.63,0,2.2986301369863016
62.0,Male,UK,53146.49,19963.95,Savings,4,0,0,2,35008.48,0,8.92054794520548
72.0,Female,Cambodia,101269.26,40230.15,Business,1,1,1,4,125602.44,0,7.624657534246575
22.0,Female,Cambodia,107677.48,9502.02,Checking,4,0,0,10,91008.88,0,2.221917808219178
71.0,Female,USA,61459.26,26281.24,Checking,1,1,0,3,88152.14,0,8.934246575342465
71.0,Male,Germany,62409.44,26636.18,Business,2,1,1,3,88142.9,0,9.443835616438356
49.0,Female,USA,90639.83,24565.49,Business,3,0,1,5,109891.61,0,7.164383561643835
23.0,Female,India,56237.2,39384.09,Savings,1,0,1,6,54687.1,0,4.854794520547945
47.0,Female,UK,71507.1,43678.75,Business,2,1,1,7,63604.79,0,1.9561643835616438
43.0,Female,USA,80989.75,35285.16,Business,3,0,1,7,117686.44,0,5.942465753424657
54.0,Other,France,33101.59,53018.17,Business,3,0,1,4,128901.53,0,7.6438356164383565
30.0,Male,UK,98419.18,42806.92,Checking,2,1,1,10,70268.51,0,2.3643835616438356
46.0,Male,UK,38007.79,25118.84,Savings,2,0,1,9,94028.82,0,8.465753424657533
22.0,Male,India,44155.21,32839.44,Savings,3,0,1,2,89324.47,0,7.213698630136986
42.0,Male,Cambodia,62495.56,33382.08,Savings,2,1,1,3,75440.45,0,9.747945205479452
30.0,Male,France,83490.03,27335.08,Checking,4,0,1,7,122487.41,1,4.739726027397261
41.0,Female,Germany,76935.12,45192.98,Checking,3,1,1,7,24529.69,0,5.1945205479452055
48.0,Male,USA,58765.01,-7628.91,Checking,3,0,0,9,49916.55,1,3.0712328767123287
37.0,Female,Germany,67104.24,35642.19,Savings,1,1,1,9,37343.35,0,3.767123287671233
72.0,Female,Cambodia,86832.24,41186.14,Checking,3,1,0,1,45919.97,0,2.347945205479452
25.0,Male,France,60209.84,46981.06,Checking,1,0,1,10,99696.81,0,5.410958904109589
26.0,Female,UK,39698.62,57166.7,Savings,4,1,1,6,85305.3,0,1.126027397260274
38.0,Male,India,44926.8,32186.46,Checking,2,1,0,3,97635.06,0,8.528767123287672
68.0,Female,India,82732.02,51635.32,Checking,4,1,1,3,71492.53,0,7.1068493150684935
37.0,Female,UK,39719.08,47211.21,Checking,3,1,1,6,62650.06,0,2.9616438356164383
32.0,Male,India,20803.91,40284.86,Business,3,0,1,7,77067.62,0,6.767123287671233
43.0,Male,Germany,52395.28,7172.34,Checking,2,0,1,1,29610.01,0,5.2904109589041095
71.0,Male,Cambodia,58116.32,56809.46,Checking,4,1,1,6,73260.54,0,1.358904109589041
59.0,Female,UK,81512.46,36926.67,Savings,4,0,0,2,67453.03,0,5.024657534246575
28.0,Female,USA,23555.59,29959.18,Checking,3,0,1,5,-5811.83,0,2.8164383561643835
54.0,Male,USA,68661.8,11860.39,Savings,1,0,1,4,57521.57,0,2.5315068493150683
58.0,Female,France,88781.48,-13883.12,Business,3,1,0,8,64289.71,1,2.873972602739726
28.0,Male,Cambodia,39566.37,73045.64,Savings,3,1,1,9,126231.03,1,5.632876712328767
44.0,Male,Cambodia,62041.09,41137.11,Business,2,0,1,2,29610.04,0,1.6246575342465754
47.0,Other,UK,6235.21,12860.18,Savings,3,1,1,10,27810.05,1,2.6301369863013697
36.0,Male,Cambodia,81829.09,9786.48,Savings,2,1,1,4,62940.38,0,7.83013698630137
51.0,Female,Germany,79889.91,29426.7,Savings,4,0,1,5,70932.84,0,7.1287671232876715
40.0,Other,UK,26817.97,47623.42,Business,4,0,1,1,84942.28,0,6.273972602739726
70.0,Male,UK,76672.08,48639.24,Savings,4,0,1,6,53691.73,0,4.580821917808219
18.0,Male,Germany,53875.05,17252.29,Business,4,0,1,8,40903.23,0,6.298630136986302
20.0,Male,India,-9509.56,31423.14,Business,4,1,0,10,90152.14,0,5.4520547945205475
20.0,Female,Germany,79455.31,37541.73,Checking,4,1,1,5,105888.44,0,5.8191780821917805
45.0,Female,UK,89090.4,33865.6,Business,2,0,0,2,75002.68,1,4.424657534246576
31.0,Male,UK,93482.64,45917.2,Checking,2,0,1,4,86008.82,0,5.909589041095891
69.0,Female,UK,28074.93,66473.98,Business,4,1,1,10,2731.69,0,3.8794520547945206
47.0,Male,UK,12080.15,39207.43,Savings,4,0,0,9,84511.35,0,6.1506849315068495
71.0,Male,France,49740.37,23302.16,Business,2,0,1,0,93820.08,1,6.1726027397260275
22.0,Male,India,72946.61,5943.95,Savings,3,1,0,3,41197.4,0,6.4301369863013695
66.0,Male,UK,36430.23,38517.0,Checking,4,0,1,0,45216.13,0,2.665753424657534
32.0,Male,France,20224.14,21806.31,Checking,4,0,0,7,94438.56,0,2.6794520547945204
55.0,Male,Cambodia,78114.24,43572.16,Business,3,1,1,9,54958.19,0,7.345205479452055
31.0,Female,UK,51369.83,42292.83,Checking,4,1,1,3,141359.96,0,5.164383561643835
31.0,Female,India,75564.73,66270.37,Checking,1,0,1,1,40437.37,1,6.495890410958904
74.0,Male,India,60394.92,39276.51,Savings,1,0,1,4,20873.6,0,8.065753424657535
66.0,Female,Germany,55847.37,44111.86,Savings,4,1,1,1,122992.43,0,5.956164383561644
25.0,Female,France,58396.6,21894.69,Savings,3,1,0,9,83650.34,1,6.079452054794521
25.0,Male,Cambodia,51038.87,6356.59,Business,2,0,0,10,63357.32,1,8.232876712328768
36.0,Female,India,48536.44,56489.36,Checking,1,1,1,2,75972.69,0,9.139726027397261
48.0,Female,UK,72083.74,28384.72,Savings,4,1,1,10,57400.29,0,8.136986301369863
46.0,Female,India,91188.43,-3678.75,Business,1,1,1,1,111554.75,1,8.191780821917808
58.0,Female,Cambodia,47488.02,62217.32,Savings,2,1,1,4,98051.6,0,4.534246575342466
28.0,Male,Cambodia,106652.49,58764.03,Checking,2,0,1,0,53618.31,0,5.53972602739726
62.0,Female,France,69414.45,32664.93,Savings,2,1,1,9,103247.72,0,5.912328767123288
30.0,Male,France,66454.36,56376.38,Business,4,0,1,10,103112.37,0,6.895890410958904
44.0,Female,France,76375.45,34179.43,Checking,1,0,1,5,66431.81,0,4.931506849315069
36.0,Male,Cambodia,48635.65,2479.14,Checking,3,1,1,7,77888.11,0,3.1890410958904107
43.0,Female,UK,73870.59,59440.56,Checking,1,0,0,6,84538.31,0,8.465753424657533
70.0,Male,USA,86165.87,-60.69,Checking,3,0,1,1,40746.98,0,6.471232876712329
68.0,Female,France,50515.57,69429.07,Business,2,1,0,2,130127.7,1,1.284931506849315
54.0,Male,UK,60118.47,71457.43,Checking,1,1,0,4,41289.55,0,5.526027397260274
65.0,Female,France,40818.55,-16090.93,Business,4,0,1,6,46378.71,0,1.7917808219178082
26.0,Male,France,47673.79,66139.22,Savings,2,0,1,1,85930.1,0,1.3726027397260274
45.0,Male,Cambodia,51257.73,30224.76,Checking,4,1,1,7,81833.22,0,8.095890410958905
49.0,Male,USA,37395.08,43444.98,Business,2,0,0,9,87213.55,0,4.090410958904109
69.0,Female,UK,58426.31,6789.48,Business,1,1,1,10,37662.46,0,10.005479452054795
71.0,Female,France,68270.72,28548.3,Savings,4,1,0,6,72086.62,0,8.252054794520548
20.0,Female,Cambodia,70698.76,11378.16,Savings,1,0,0,1,80933.4,0,3.797260273972603
68.0,Other,Germany,39788.22,19214.37,Checking,4,0,1,2,32263.7,0,5.654794520547945
49.0,Female,France,44841.95,59444.67,Business,4,1,1,10,31444.2,0,7.668493150684932
22.0,Female,Cambodia,81272.93,54983.0,Business,2,1,1,5,101503.01,1,5.189041095890411
25.0,Male,UK,44781.82,51409.58,Business,1,0,1,1,98698.97,0,3.345205479452055
73.0,Male,France,41688.39,21193.25,Checking,3,0,1,1,142961.42,0,6.8493150684931505
20.0,Male,Germany,69424.9,2012.69,Business,4,1,1,4,24426.38,0,7.06027397260274
41.0,Female,Germany,78808.79,48560.01,Checking,3,0,1,3,61532.08,0,5.331506849315068
30.0,Female,France,-6242.16,73732.74,Business,3,0,0,5,97143.02,0,2.4
60.0,Female,UK,81711.67,64115.65,Checking,4,1,0,2,81151.11,0,5.364383561643836
46.0,Female,France,92601.78,35613.74,Business,2,1,1,10,109955.54,1,5.260273972602739
25.0,Other,Germany,52277.14,44866.79,Savings,1,0,0,9,48589.65,0,6.065753424657534
68.0,Female,France,68643.46,39948.58,Business,2,0,1,4,86700.36,0,3.723287671232877
59.0,Male,Germany,39021.94,53189.13,Savings,2,0,0,4,43460.88,0,7.720547945205479
48.0,Male,India,69087.01,69842.0,Checking,4,1,1,7,112022.69,0,9.454794520547946
43.0,Male,France,121526.24,23608.22,Business,3,0,1,3,61912.85,0,1.0904109589041096
35.0,Male,USA,5081.61,24351.97,Savings,3,1,1,3,2388.79,1,9.673972602739726
35.0,Female,France,47482.21,29257.31,Checking,4,1,1,10,163560.29,1,8.912328767123288
74.0,Female,Germany,79918.86,34343.0,Savings,1,0,1,5,46553.13,0,7.909589041095891
24.0,Male,UK,91539.58,49566.53,Checking,2,0,1,5,77348.78,1,9.205479452054794
65.0,Female,Germany,25439.44,33655.83,Business,3,1,0,9,27104.58,0,3.632876712328767
55.0,Female,India,44045.23,17931.6,Savings,3,0,0,5,96227.14,0,1.978082191780822
65.0,Male,UK,45492.05,18195.69,Business,1,1,1,0,115640.0,0,9.468493150684932
33.0,Male,USA,43675.11,11495.34,Business,2,1,1,7,119347.76,0,1.7095890410958905
72.0,Female,USA,57095.64,32859.39,Business,4,0,0,9,103537.07,0,4.720547945205479
73.0,Female,India,24282.73,55676.01,Checking,4,1,1,4,86780.95,0,2.33972602739726
50.0,Male,India,53636.87,43406.74,Checking,3,1,0,5,82257.06,0,4.005479452054795
73.0,Male,India,36596.28,46267.71,Business,3,1,1,10,66555.86,1,8.342465753424657
20.0,Male,India,42371.75,11544.1,Business,2,0,0,3,63404.08,0,6.865753424657535
55.0,Female,France,55774.08,38567.47,Savings,4,0,0,9,61654.03,1,9.498630136986302
21.0,Male,Germany,34089.07,59926.49,Savings,1,1,1,5,109860.88,0,3.128767123287671
53.0,Male,Cambodia,83817.52,51896.75,Checking,3,1,1,10,55485.76,0,5.093150684931507
21.0,Male,France,51860.08,21528.68,Checking,1,1,1,3,126630.22,0,8.202739726027398
26.0,Male,USA,56354.51,-5594.44,Checking,2,1,1,7,55742.72,0,1.7835616438356163
57.0,Male,USA,60180.81,35580.27,Checking,2,1,0,5,7136.06,0,4.652054794520548
68.0,Female,UK,60054.81,37054.52,Savings,3,0,1,3,79037.12,0,3.2958904109589042
34.0,Male,USA,80128.46,30817.24,Checking,4,0,0,3,87223.06,0,6.257534246575342
34.0,Male,India,52848.33,45513.27,Savings,2,1,1,8,71540.21,0,4.567123287671233
50.0,Male,India,42005.16,30954.51,Business,2,0,0,6,74031.84,0,5.8054794520547945
37.0,Female,Cambodia,61042.88,5092.53,Checking,4,1,0,8,93917.0,1,9.608219178082193
31.0,Other,India,44677.39,33228.99,Business,3,0,0,9,95251.85,0,1.189041095890411
39.0,Male,UK,58127.16,38291.81,Checking,1,1,0,7,47714.65,0,2.032876712328767
69.0,Male,Germany,33699.32,53231.19,Business,4,1,0,9,91223.65,0,5.257534246575342
44.0,Male,UK,86244.56,63351.13,Savings,4,1,0,1,38841.59,0,4.958904109589041
60.0,Female,Germany,40486.68,17890.24,Checking,4,0,1,3,138445.81,0,8.67123287671233
41.0,Female,Cambodia,58471.86,26437.8,Checking,2,1,1,2,27429.27,0,4.641095890410959
47.0,Female,USA,81403.83,24790.0,Business,1,1,1,2,52042.72,0,5.4520547945205475
25.0,Female,USA,40817.2,26780.36,Savings,2,0,1,5,112895.39,0,2.8904109589041096
39.0,Female,Germany,10828.87,-4025.65,Checking,1,1,0,6,93703.12,0,3.473972602739726
42.0,Female,USA,18779.75,26549.72,Savings,3,0,1,6,23279.17,0,2.010958904109589
27.0,Male,UK,122572.56,61220.12,Savings,4,0,1,2,52263.89,1,8.254794520547945
66.0,Male,Germany,45051.49,44547.06,Savings,2,0,1,3,77770.6,0,5.071232876712329
46.0,Female,India,87403.95,39551.24,Business,1,1,1,6,73091.17,0,3.1041095890410957
57.0,Female,Germany,27556.09,42014.01,Business,4,0,0,2,85563.83,0,4.6136986301369864
71.0,Female,UK,64471.37,60228.94,Checking,4,0,1,2,134093.26,0,3.9863013698630136
18.0,Male,Cambodia,68710.18,17440.2,Savings,2,1,0,8,130966.23,0,6.068493150684931
69.0,Female,UK,130910.3,53077.57,Savings,1,0,1,8,72898.29,0,5.531506849315068
56.0,Female,USA,42218.3,19322.72,Business,2,1,0,3,65087.12,0,5.112328767123287
41.0,Male,Cambodia,68773.34,44272.95,Checking,1,1,0,7,42328.1,0,4.005479452054795
26.0,Male,India,36880.94,36676.47,Checking,4,1,1,2,67073.74,1,3.452054794520548
61.0,Male,Cambodia,70239.42,18865.4,Savings,4,1,1,4,65680.24,0,8.301369863013699
71.0,Female,India,58662.79,13609.29,Savings,2,1,1,9,22581.14,1,7.2246575342465755
43.0,Female,France,41154.56,26302.15,Checking,1,0,1,3,46763.23,0,7.597260273972603
26.0,Male,Cambodia,72359.6,24779.79,Savings,1,1,1,7,66934.27,0,4.394520547945206
37.0,Male,Cambodia,62708.03,59419.24,Business,1,1,1,3,152831.02,0,1.9424657534246574
52.0,Male,Cambodia,101311.33,27538.18,Savings,4,0,1,5,58569.22,0,3.7041095890410958
53.0,Other,USA,47458.92,57576.1,Business,4,0,1,0,69210.0,0,8.76986301369863
59.0,Female,Germany,49712.3,61993.23,Business,3,1,1,0,-16712.29,1,1.4931506849315068
53.0,Male,USA,26358.81,18370.57,Savings,3,0,1,1,89321.76,0,6.767123287671233
71.0,Female,UK,73025.76,10124.55,Savings,3,1,1,4,17420.75,1,1.6191780821917807
26.0,Male,USA,43881.21,45304.52,Checking,1,1,0,6,69792.92,1,4.375342465753425
39.0,Female,Cambodia,68638.2,30852.3,Business,1,1,1,0,-10366.21,1,1.3232876712328767
18.0,Male,UK,89136.83,24095.64,Checking,1,1,1,0,67727.83,0,5.4
22.0,Other,Cambodia,42890.04,55766.13,Checking,4,1,1,1,71060.63,0,2.164383561643836
26.0,Female,Germany,48142.93,29788.32,Business,3,0,0,10,61496.6,0,3.83013698630137
54.0,Female,Germany,85362.82,73363.94,Business,3,1,0,4,38077.96,0,6.846575342465753
55.0,Male,India,77685.57,35953.72,Savings,2,1,1,2,57226.51,1,8.904109589041095
25.0,Female,France,50215.33,79795.28,Business,3,0,0,4,148888.56,0,4.252054794520548
59.0,Female,USA,24098.26,41192.94,Business,3,1,1,1,35000.75,0,1.2657534246575342
60.0,Male,France,42204.15,20875.05,Business,1,1,1,4,51339.15,1,5.361643835616438
49.0,Male,USA,34762.99,14590.63,Savings,4,0,0,10,61745.53,0,8.29041095890411
30.0,Male,India,74538.66,25761.49,Savings,4,1,0,5,69298.97,0,8.402739726027397
37.0,Female,India,67113.04,39720.35,Business,2,1,1,3,90744.47,0,5.493150684931507
53.0,Male,Germany,45034.58,53220.11,Business,2,0,1,2,33051.49,0,6.054794520547945
